year,CCGT,OCGT,Biomass,Geothermal,Hydro,Oil,Wind,Solar
2024,9.094947017729282e-13,3.127809122815961e-11,5.5703885948332754e-11,2.3884305531586044e-09,6.378549240521423e-09,2.0043877668740606e-10,8.642111434755527e-09,1.368624269731843e-08
2025,9.606537787476555e-12,0.0,0.0,2.182402461920613e-07,9.897987540772991,0.0,1.3975602981411404e-07,390.102012069965
2026,9.137318585317189e-05,8.775940408156657e-06,0.00022851402898194095,0.00034881843576729983,0.00032386315102052033,0.002036410423019497,0.0012507081749178568,361.0805285898136
2027,6.0547131965904555e-06,9.458529930839177e-06,0.0005408069858701126,0.00017790050289473273,0.00042804106482300866,0.0008228253091315807,0.0014900214021082332,347.02982174737605
2028,4.757466359706086e-05,6.521481632404402e-05,0.00014830901609741431,0.0008243268973019763,0.01955046941879784,0.0038671218448209643,0.0031160281449771525,389.2037919226404
2029,2.558617921977202e-05,1.620052945838779e-05,0.003396780686648171,12.635083258930742,0.015128066507900996,0.0006733934668163855,0.0005248487369545422,363.97756667784034
2030,1.7061449000266293e-05,0.000855649741502873,0.0036287457383199495,53.58225735296849,39.29736094964454,0.006636430066968124,0.000742476219254702,0.001538257708643193
2031,5.74373977428877e-05,0.0015472983619204683,0.0008101345981490482,31.293778928648024,58.55646327338797,0.0015067504643333507,0.00043179267183512016,0.0004988092335568763
2032,9.266634185678413e-05,0.0002550827534264499,0.0034780924334700813,99.9994251871161,46.30559304663667,0.001333919209701051,0.0018696968060987003,0.001012841204270587
2033,0.0011320311622284862,0.0028866040505590718,0.01808355067497658,99.99936978883142,138.59911891949162,0.00966613807452621,0.0019842808287318034,0.00017844895594033156
2034,3.263098619754601e-05,0.0002535886269896537,344.49540313463194,47.44170980707628,0.000360007315791222,0.0006922435357377132,0.0023182311978245844,0.00020381582763908442
2035,3.1624988480416505e-05,0.0005054837709224103,32.81802146533195,69.03972558929473,0.008591499874015085,0.0001382392195412585,0.26791561400364694,0.009429709379318136
2036,2.3117488751722703e-05,0.00018556869940766774,0.012517068163731437,86.64280819841593,0.0002005407202858578,0.012425818779261188,0.012096384148404006,0.00016657707015470605
2037,0.00060155712372989,0.0008550818665185034,88.18284324850649,9.36425906746939,0.028890821500766606,0.014608312203741036,0.005132876457863143,0.007691718946325473
2038,0.0008291344956319335,0.0030655892950974817,106.7185754934261,0.00023066049203634975,2.7620171323405884e-06,0.001842193048112506,0.003183617695009503,0.0023937328105736455
2039,5.860803241830581e-05,0.001221615614518612,127.2481211178029,9.473386057834432e-07,1.921171133290045e-07,0.001029028253615838,0.00933961983429579,74.3940667924476
2040,0.00399452557752511,0.003337194464052118,33.773997960912936,0.0,0.0,0.0010131398206780773,0.016612019799133577,332.8615252370465
